method,failure_def,model_seed,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,capture_at_10,capture_at_20,capture_at_30
conf_morph_consistency,mean_fg_lt_0.70,42,0.11605689004594406,0.8914277587591566,0.8787753683810461,0.8612348038779684,0.8358964522056611,0.4794520547945205,0.821917808219178,0.9726027397260274
confidence,edema_lt_0.70,42,0.11129185632837581,0.8928886232935207,0.8764276695860231,0.8557666562708198,0.8296906362893359,0.4111111111111111,0.6666666666666666,0.8444444444444444
morphology,edema_lt_0.70,42,0.13629778720120095,0.8641547679766173,0.8564689109824973,0.8418229002686239,0.8215639541393744,0.36666666666666664,0.6333333333333333,0.8
consistency,edema_lt_0.70,42,0.15500154885475553,0.8485491319311946,0.8435131714224067,0.836284460785457,0.8247604029965699,0.28888888888888886,0.5222222222222223,0.7111111111111111
conf_morph,edema_lt_0.70,42,0.11520145191488312,0.8862891448870011,0.8642745703190194,0.8522823962987438,0.8298718586340146,0.4,0.7222222222222222,0.8666666666666667
conf_pooled,edema_lt_0.70,42,0.12041795901996549,0.8864162366133252,0.8665184578589222,0.8464351503982298,0.8256554866624227,0.35555555555555557,0.6444444444444445,0.8222222222222222
conf_consistency,edema_lt_0.70,42,0.1157452861097248,0.8937141549467386,0.8680036071933841,0.8498911463884997,0.8296768803211985,0.3888888888888889,0.7,0.8444444444444444
conf_morph_consistency,edema_lt_0.70,42,0.11983267613900343,0.8880728452643957,0.8631781209097503,0.8499880309719146,0.8262679467620069,0.3888888888888889,0.6888888888888889,0.8666666666666667
confidence,lowest20_edema,42,0.11250596276796095,0.8905807224200833,0.8713223841159758,0.8543640960679582,0.8299299827204158,0.44155844155844154,0.7012987012987013,0.8311688311688312
morphology,lowest20_edema,42,0.13581386735241197,0.8618996721807628,0.8518330901261382,0.8429085266279789,0.8213440935608395,0.4025974025974026,0.6753246753246753,0.8051948051948052
consistency,lowest20_edema,42,0.15379975362278708,0.8560115173547024,0.8460130365912268,0.8379255320723668,0.8241083319582951,0.36363636363636365,0.5454545454545454,0.7272727272727273
conf_morph,lowest20_edema,42,0.12122201835323618,0.8868187339570354,0.8649041138094237,0.8490791434555397,0.8272757842942754,0.4675324675324675,0.7142857142857143,0.8571428571428571
conf_pooled,lowest20_edema,42,0.12241909900948496,0.8818531122300093,0.860790567858565,0.846226552106189,0.8264395333995128,0.4025974025974026,0.7012987012987013,0.7662337662337663
conf_consistency,lowest20_edema,42,0.12327477713138293,0.8822835966667928,0.8644179982347352,0.8490455606725423,0.828502155700777,0.4025974025974026,0.7012987012987013,0.8441558441558441
