method,failure_def,auprc,auroc,auprc_boot_mean,auprc_ci_low,auprc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_80,n_pos
pooled,mean_fg_lt_0.80,0.8528848561895692,0.8968444242856217,0.8534796453363497,0.7928812977380724,0.902743869407885,0.29508196721311475,0.5491803278688525,0.7377049180327869,0.49285455486542445,0.6348008939455505,0.11448195416769179,0.8558466312529565,122
combined_pooled,mean_fg_lt_0.80,0.864794668155482,0.9001814294045228,0.8647955753554241,0.8103394496849347,0.9116645181009801,0.29508196721311475,0.5655737704918032,0.7459016393442623,0.5034952978056427,0.6346378504672896,0.11410565931238119,0.8596289131416119,122
combined_conf_pooled,mean_fg_lt_0.80,0.8746516636148615,0.910127648545325,0.8755170855463719,0.8222069634771261,0.9189982018382779,0.30327868852459017,0.5737704918032787,0.7704918032786885,0.5035971223021583,0.6509542149904793,0.11346064379406888,0.8610370055357441,122
confidence,mean_fg_lt_0.70,0.7614500094917455,0.927061598475914,0.7630915897410091,0.6562694406184277,0.8494560224081441,0.4246575342465753,0.7123287671232876,0.8493150684931506,0.6279007916872835,0.8125,0.11473642892270604,0.8586314278793675,73
morphology,mean_fg_lt_0.70,0.7320540068560808,0.8744443436451057,0.7351791772485151,0.6372120954894696,0.8214138789715847,0.3972602739726027,0.6986301369863014,0.7945205479452054,0.5972222222222222,0.7879186602870811,0.13046678019182575,0.8531066875815771,73
inconsistency,mean_fg_lt_0.70,0.689760840799593,0.8081738183797513,0.6904669404925187,0.5895913947715082,0.783626832734066,0.4383561643835616,0.6164383561643836,0.7397260273972602,0.5125,0.7162162162162162,0.1502237393527117,0.843192297206109,73
combined,mean_fg_lt_0.70,0.7740758223166251,0.8988025038555747,0.7749632203406915,0.6855480808678301,0.8549665885702112,0.4657534246575342,0.6986301369863014,0.8356164383561644,0.5949367088607594,0.782608695652174,0.12396336626945141,0.8501824798093651,73
combined_conf,mean_fg_lt_0.70,0.8803778530690188,0.9704708337113308,0.8804337578323352,0.8019364632958332,0.9398101617019639,0.4657534246575342,0.8082191780821918,0.958904109589041,0.707851466155111,0.9393939393939394,0.10908248403402754,0.8588919105449745,73
pooled,mean_fg_lt_0.70,0.8076827418998815,0.9354985031298194,0.8094896046076648,0.7177335520309758,0.8867145848099643,0.4657534246575342,0.7397260273972602,0.8904109589041096,0.6373376623376623,0.847457627118644,0.11537247814571062,0.8566201585391874,73
combined_pooled,mean_fg_lt_0.70,0.7987815653904036,0.9156309534609451,0.7995567314696346,0.7030769497027108,0.8815995540857757,0.4657534246575342,0.726027397260274,0.863013698630137,0.6374715909090909,0.816933418693982,0.12527284686920506,0.8553413615523504,73
combined_conf_pooled,mean_fg_lt_0.70,0.7729446762491691,0.9241132178172912,0.7749743211265562,0.6748860644673483,0.8628666818687946,0.410958904109589,0.7397260273972602,0.9041095890410958,0.6578947368421053,0.8507462686567164,0.1245603422518688,0.8579488367180766,73
