case_id,dice,boundary_error_fraction,false_positive_voxels,false_negative_voxels,confident_false_negative_fraction,missed_small_lesion_count,mean_entropy_error,mean_entropy_nonerror,entropy_error_auroc,entropy_error_auprc,overlap_top_5_uncertainty,overlap_top_10_uncertainty,overlap_top_20_uncertainty,path_embedding,path_entropy,path_prediction,path_ground_truth
BraTS2021_01307,0.9675365710942148,0.9870223503965393,473,914,0.0175054704595186,0,0.5417351126670837,0.1634489893913269,0.8895908431111965,0.26586427199735757,0.1946647440519106,0.5465032444124008,0.8320115356885364,outputs_10hour/embeddings/epoch_005/BraTS2021_01307_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01307_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01307_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01307_gt.npy
BraTS2021_01297,0.761392901131026,0.8847958704833412,2790,1472,0.12364130434782608,7,0.4094185531139374,0.1700909435749054,0.7640454633284566,0.6240552319240436,0.08869075551384327,0.17972782731112155,0.34772407320506804,outputs_10hour/embeddings/epoch_005/BraTS2021_01297_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01297_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01297_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01297_gt.npy
BraTS2021_01296,0.9110711241595129,0.9921902733404331,2166,651,0.0967741935483871,5,0.508836567401886,0.27210086584091187,0.7322944719110853,0.28003199321383676,0.08910188143414981,0.12247071352502663,0.34291799787007454,outputs_10hour/embeddings/epoch_005/BraTS2021_01296_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01296_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01296_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01296_gt.npy
BraTS2021_01281,0.9639901223847483,0.9917106254709872,142,1185,0.007594936708860759,0,0.5252821445465088,0.1760966181755066,0.8532329035839956,0.2062821101221648,0.09570459683496609,0.3180105501130369,0.707611152976639,outputs_10hour/embeddings/epoch_005/BraTS2021_01281_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01281_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01281_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01281_gt.npy
BraTS2021_01276,0.4823151125413819,0.2302573203194321,2105,149,0.2953020134228188,9,0.5409549474716187,0.13717342913150787,0.8849951409135083,0.9032629366027494,0.062111801242236024,0.13354037267080746,0.2755102040816326,outputs_10hour/embeddings/epoch_005/BraTS2021_01276_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01276_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01276_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01276_gt.npy
BraTS2021_01275,0.9103111653448317,0.8789115646258503,612,123,0.0,5,0.4225868284702301,0.10734321922063828,0.841432766135945,0.4324919314526125,0.12653061224489795,0.3047619047619048,0.5591836734693878,outputs_10hour/embeddings/epoch_005/BraTS2021_01275_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01275_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01275_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01275_gt.npy
BraTS2021_01273,0.7950391644921995,0.856687898089172,53,261,0.06513409961685823,1,0.2967313528060913,0.22996799647808075,0.6296371832282222,0.3979606380969607,0.028662420382165606,0.10191082802547771,0.2356687898089172,outputs_10hour/embeddings/epoch_005/BraTS2021_01273_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01273_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01273_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01273_gt.npy
BraTS2021_01265,0.9140309912970254,0.9374485596707819,358,857,0.03267211201866978,1,0.40134137868881226,0.18356576561927795,0.7442630533717907,0.2885575814752812,0.102880658436214,0.18106995884773663,0.39423868312757204,outputs_10hour/embeddings/epoch_005/BraTS2021_01265_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01265_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01265_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01265_gt.npy
BraTS2021_01258,0.9226982437467252,0.9449225473321858,844,318,0.006289308176100629,4,0.4480215907096863,0.10016095638275146,0.8854878159253555,0.43321318001842296,0.14285714285714285,0.3476764199655766,0.6506024096385542,outputs_10hour/embeddings/epoch_005/BraTS2021_01258_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01258_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01258_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01258_gt.npy
BraTS2021_01257,0.602431610942652,0.4151376146788991,3880,44,0.022727272727272728,2,0.37987378239631653,0.12199804931879044,0.80914014441218,0.8030018311781877,0.06957186544342507,0.1480632008154944,0.30173292558613657,outputs_10hour/embeddings/epoch_005/BraTS2021_01257_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01257_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01257_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01257_gt.npy
