layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder2,zero,false_positive_voxels,False-positive voxels,2,21976.170666666665,21976.170666666665,1036.744,23012.914666666667
decoder2,zero,boundary_complexity,Boundary complexity,3,9.472456721292907,9.472456721292907,6.174654469857373,15.647111191150282
decoder2,zero,dice,Dice,4,0.4117368563850179,-0.4117368563850179,0.8887710221203972,0.47703416573537916
decoder2,zero,edema_fraction,Edema fraction,5,0.1591715050497843,-0.06593207993990828,0.6179801798768801,0.5520480999369718
decoder2,zero,necrosis_fraction,Necrosis fraction,6,0.1291342343958324,0.08972387249328592,0.13563365453719345,0.2253575270304794
decoder2,zero,enhancing_fraction,Enhancing fraction,7,0.09813516288259784,-0.023791792552293682,0.2463861655845238,0.22259437303223012
decoder2,zero,centroid_z,Centroid Z (normalized),8,0.09606088865109717,-0.007962154659547308,0.5049611454662892,0.49699899080674187
decoder2,zero,false_negative_voxels,False-negative voxels,9,-566.168,-566.168,998.28,432.112
decoder3,mean,tumor_volume,Tumor volume (pred WT voxels),1,2458.8053333333332,-2456.176,11640.925333333333,9184.749333333333
decoder3,mean,false_negative_voxels,False-negative voxels,2,1746.8826666666666,1746.8826666666666,998.28,2745.1626666666666
decoder3,mean,boundary_complexity,Boundary complexity,3,0.5594528158756684,0.004012057882752477,6.174654469857373,6.178666527740125
decoder3,mean,dice,Dice,4,0.05534718720491515,-0.05534718720491515,0.8887710221203972,0.8334238349154819
decoder3,mean,edema_fraction,Edema fraction,5,0.04527887286498599,-0.019220858615322276,0.6179801798768801,0.5987593212615578
decoder3,mean,enhancing_fraction,Enhancing fraction,6,0.0278620617263584,0.013697433838408617,0.2463861655845238,0.2600835994229324
decoder3,mean,necrosis_fraction,Necrosis fraction,7,0.024905589608328484,0.0055234247761569485,0.13563365453719345,0.14115707931335042
decoder3,mean,centroid_z,Centroid Z (normalized),8,0.009847624779045617,-0.005563917772020743,0.5049611454662892,0.4993972276942685
decoder3,mean,false_positive_voxels,False-positive voxels,9,-709.2933333333333,-709.2933333333333,1036.744,327.4506666666667
decoder3,noise,tumor_volume,Tumor volume (pred WT voxels),1,2345.8906666666667,-2340.5253333333335,11640.925333333333,9300.4
decoder3,noise,false_negative_voxels,False-negative voxels,2,1651.7973333333334,1651.7973333333334,998.28,2650.077333333333
decoder3,noise,boundary_complexity,Boundary complexity,3,0.5373946487777634,-0.010086719923784244,6.174654469857373,6.164567749933588
decoder3,noise,dice,Dice,4,0.051149767802860464,-0.051149767802860464,0.8887710221203972,0.8376212543175368
