layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
decoder4,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5037057632618124,-0.0012553822044767727,0.0015311413833135473,0.0015311413833135473,0.0037897468167915485,375
decoder4,mean,dice,Dice,0.8887710221203972,0.8910308366580583,0.002259814537661142,-0.002259814537661142,0.005718270466209033,0.011773505151085651,375
decoder4,mean,false_positive_voxels,False-positive voxels,1036.744,914.296,-122.448,-122.448,125.85066666666667,288.0683163922941,375
decoder4,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,11475.688,-165.23733333333334,174.72,174.72,285.5459336322333,375
decoder4,noise,false_negative_voxels,False-negative voxels,998.28,1066.4213333333332,68.14133333333334,68.14133333333334,68.20533333333333,104.59720946642886,375
decoder4,noise,boundary_complexity,Boundary complexity,6.174654469857373,6.128875220163619,-0.04577924969375425,0.06539842787775019,0.06539842787775019,0.13087675791199865,375
decoder4,noise,edema_fraction,Edema fraction,0.6179801798768801,0.6160382788700868,-0.0019419010067934263,0.004608750724201185,0.004608750724201185,0.008424401977734107,375
decoder4,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.24850290581685158,0.0021167402323277944,0.0031313845439762266,0.0031313845439762266,0.006308985669102152,375
decoder4,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.13545881531162,-0.00017483922557346592,0.00226027544478047,0.00226027544478047,0.004780908306983324,375
decoder4,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5037799254536649,-0.0011812200126242306,0.001352658231589072,0.001352658231589072,0.003578200039672091,375
decoder4,noise,dice,Dice,0.8887710221203972,0.8903633433399264,0.0015923212195293039,-0.0015923212195293039,0.004903854470519652,0.009968406226879714,375
decoder4,noise,false_positive_voxels,False-positive voxels,1036.744,939.648,-97.096,-97.096,108.824,248.39635689286402,375
decoder4,zero,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,11475.562666666667,-165.36266666666666,174.55733333333333,174.55733333333333,286.89128778844565,375
