outer_fold,model_seed,feature,coefficient
4,42,conf_frac_margin_lt_0.20,-0.1362707689895349
4,42,absolute_gap_gt_compactness,-0.23650167252824056
4,42,absolute_gap_gt_edema_frac,0.04432173289666719
4,42,absolute_gap_gt_enhancing_frac,-0.08039342555534232
4,42,absolute_gap_gt_necrosis_frac,-0.15054716692321524
4,42,absolute_gap_log_wt_volume,0.09284742011718332
4,42,relative_gap_gt_compactness,-0.04017304893649183
4,42,relative_gap_gt_edema_frac,-0.05724881644937439
4,42,relative_gap_gt_enhancing_frac,0.8002966871552469
4,42,relative_gap_gt_necrosis_frac,-0.09028848473740365
4,42,relative_gap_log_wt_volume,0.16005531419582875
4,42,signed_gap_gt_compactness,0.24445127690598054
4,42,signed_gap_gt_edema_frac,-0.11133359955576888
4,42,signed_gap_gt_enhancing_frac,-0.25474819918209873
4,42,signed_gap_gt_necrosis_frac,0.14381510561710198
4,42,signed_gap_log_wt_volume,-0.175707012463564
4,42,standardized_gap_gt_compactness,-0.23650167252824061
4,42,standardized_gap_gt_edema_frac,0.044321732896667285
4,42,standardized_gap_gt_enhancing_frac,-0.08039342555534218
4,42,standardized_gap_gt_necrosis_frac,-0.15054716692321526
4,42,standardized_gap_log_wt_volume,0.0928474201171835
