method,failure_def,model_seed,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,auprc_ci_low,auprc_ci_high,auroc_ci_low,auroc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,aurc_ci_low,aurc_ci_high,dice80_ci_low,dice80_ci_high,n_pos
conf_pooled,mean_fg_lt_0.70,42,0.9505125646375759,0.826835854418835,0.07598952669930253,0.8767123287671232,0.9039735099337748,0.6881720430107527,0.9680851063829787,0.8675930022337469,-0.03652702549957207,0.733341709512589,0.9089740613850796,0.9214796056747184,0.9723411265322822,0.4794520547945205,0.7671232876712328,0.9041095890410958,0.6891891891891891,0.8769230769230769,0.1126114624015446,0.8939624979348944,0.8754364069771805,0.8598536901862353,0.836808484342665,0.10586453703896843,0.1203009679818195,0.8475524980321526,0.8714363137276857,73
conf_consistency,mean_fg_lt_0.70,42,0.9727388188333486,0.8887028814898454,0.06382824656978099,0.863013698630137,0.9139072847682119,0.7078651685393258,0.965034965034965,0.8970104865019711,-0.05147723858907402,0.8189226005462105,0.9432524128736873,0.9583695458365177,0.9852138655076917,0.4794520547945205,0.821917808219178,0.9863013698630136,0.7195121951219512,0.9069875107665804,0.11608092584850202,0.8935189890072245,0.8799344959450952,0.8622372174766015,0.836975330850796,0.10869557610510426,0.12437598635598394,0.8479130963091426,0.8729364415868162,73
conf_morph_consistency,mean_fg_lt_0.70,42,0.9627596842964711,0.8654099719322778,0.0704897528190688,0.9041095890410958,0.9139072847682119,0.717391304347826,0.9752650176678446,0.8987356315371942,-0.05728060939481189,0.7869529305245048,0.9295053643451024,0.9403260392247808,0.9804468304236515,0.4794520547945205,0.821917808219178,0.9726027397260274,0.6973684210526315,0.9076923076923077,0.11623431728996729,0.8888788815773948,0.8787753683810461,0.8615401395970014,0.8358964522056611,0.10817806348028743,0.12496271156460625,0.8467505541753457,0.8738420763583937,73
confidence,edema_lt_0.70,42,0.9387524366471736,0.8486293192495434,0.098200018748459,0.8444444444444444,0.8736842105263158,0.6785714285714286,0.9467680608365019,0.9182023222050125,-0.0810744813248715,0.7753119013606473,0.9079643926936096,0.9126472028464736,0.9614514631970492,0.4111111111111111,0.6666666666666666,0.8444444444444444,0.5925836030204962,0.7605833866837385,0.11132655692847389,0.8928886232935207,0.8764276695860231,0.8557666562708198,0.8296906362893359,0.10402813513924161,0.11965050557649422,0.839518978475962,0.867898607370793,90
morphology,edema_lt_0.70,42,0.8917348927875243,0.7685316540551248,0.13024707885500625,0.8111111111111111,0.8385964912280702,0.6134453781512605,0.93359375,0.924726766762375,-0.11951032933964573,0.6807985403744882,0.8473104201973638,0.8490734688590696,0.9286158543224428,0.36666666666666664,0.6333333333333333,0.8,0.5513923326339881,0.7349397590361446,0.13630195090334163,0.8641547679766173,0.8564689109824973,0.8418229002686239,0.8215639541393744,0.12264368235991564,0.15209359018465865,0.8263171698257559,0.8566834588525539,90
consistency,edema_lt_0.70,42,0.7938401559454191,0.6421519715374981,0.1631778099542178,0.6888888888888889,0.8315789473684211,0.5636363636363636,0.8943396226415095,0.8361464928152723,-0.09281767630915283,0.5396396563342619,0.7385013701756802,0.7300843749099761,0.8541674658250801,0.32222222222222224,0.5333333333333333,0.7111111111111111,0.4444444444444444,0.6222222222222222,0.15428815959775632,0.8486503363201926,0.8438165421633697,0.8376522602941012,0.8239972586862232,0.13808400309026025,0.17327706839273935,0.8225121862703049,0.8505245299097751,90
conf_morph,edema_lt_0.70,42,0.9582066276803118,0.8959293406088249,0.07986742050664766,0.8666666666666667,0.8982456140350877,0.7289719626168224,0.9552238805970149,0.9191609057205684,-0.05807561007279616,0.8412292769043661,0.939799058473225,0.9365514470794084,0.976337024962754,0.4,0.7222222222222222,0.8666666666666667,0.64,0.8125,0.11520145191488311,0.8862891448870011,0.8642745703190193,0.8522823962987438,0.8298718586340146,0.10685411496747088,0.124566945344438,0.8364263723060529,0.8646299958690274,90
conf_pooled,edema_lt_0.70,42,0.8958284600389863,0.761442031854417,0.10408485119178645,0.7444444444444445,0.9017543859649123,0.7052631578947368,0.9178571428571428,0.8062330617197998,0.01633018574863665,0.6647209671354262,0.8516729849699132,0.854871350941718,0.9331588737199897,0.36666666666666664,0.6555555555555556,0.8,0.5789473684210527,0.75,0.12500616678793866,0.878933493354846,0.8636116510083607,0.8473697895964442,0.8260955402640864,0.1154198899131051,0.13719894256238768,0.8303286444330457,0.8602798846130034,90
conf_consistency,edema_lt_0.70,42,0.9387524366471734,0.854794452018047,0.09057104212744495,0.8444444444444444,0.8912280701754386,0.7102803738317757,0.9477611940298507,0.9287723823589634,-0.06779033535410223,0.7903677763405927,0.9120689460461069,0.9111374102440482,0.9622738291144346,0.3888888888888889,0.7,0.8444444444444444,0.6086956521739131,0.7857142857142857,0.11583163471781875,0.8924292795265613,0.868003607193384,0.8498911463884998,0.8296768803211985,0.10808921019147766,0.12459682071350636,0.8348446931305508,0.8650654339614873,90
conf_morph_consistency,edema_lt_0.70,42,0.9454970760233918,0.8459267154487322,0.08924633924996685,0.8666666666666667,0.8807017543859649,0.6964285714285714,0.9543726235741445,0.9351037123270792,-0.07646190931867652,0.7692171472960051,0.9127421939352414,0.9185559701785826,0.9686535455898717,0.3888888888888889,0.6777777777777778,0.8666666666666667,0.5981308411214953,0.7848327305605783,0.1197001026630009,0.8890565877508616,0.8631781209097503,0.8497203245409395,0.8262761415938812,0.11059421601318667,0.12898340699805494,0.8356754024275647,0.8625006094652159,90
