failure_def,model_seed,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
edema_lt_0.70,42,conf_consistency,conf_pooled,capture20_diff,0.03394887419040222,-0.0357142857142857,0.10811624877889926,0.7726
edema_lt_0.70,42,conf_consistency,conf_pooled,aurc_diff,0.009811564679750473,0.004298727644405391,0.016298817311657134,1.0
edema_lt_0.70,42,conf_consistency,conf_pooled,dice80_diff,0.004658744931627833,-0.0015961845267029068,0.011068304422649916,0.9316
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.00782404565972308,-0.05027091525015482,0.029333406167385986,0.3612
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,capture20_diff,-0.006635131351151233,-0.0641025641025641,0.05617977528089879,0.331
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,aurc_diff,-0.004032585506994962,-0.0076917847214477975,-0.0005037084674885767,0.012
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,dice80_diff,-0.0012860448774871262,-0.007008306284524648,0.003833136086233023,0.326
edema_lt_0.70,42,consistency,morphology,auprc_diff,-0.12532663807424055,-0.21283119447025134,-0.04244395409271571,0.001
edema_lt_0.70,42,consistency,morphology,capture20_diff,-0.10639690975566941,-0.2222222222222222,0.0,0.0164
edema_lt_0.70,42,consistency,morphology,aurc_diff,-0.01820830301075497,-0.03333151443528719,-0.003246489206436436,0.0084
edema_lt_0.70,42,consistency,morphology,dice80_diff,-0.004870889932245933,-0.014510758010481808,0.005162498990066332,0.1586
lowest20_edema,42,conf_consistency,confidence,auprc_diff,-0.01653326157096628,-0.060262918757008274,0.02741908182862328,0.2282
lowest20_edema,42,conf_consistency,confidence,capture20_diff,-0.005416793871939986,-0.07317073170731703,0.06153846153846154,0.3556
lowest20_edema,42,conf_consistency,confidence,aurc_diff,-0.011921358713994116,-0.018882663431831072,-0.006289071521044396,0.0
lowest20_edema,42,conf_consistency,confidence,dice80_diff,-0.004878804872090849,-0.009890010122524837,-0.0005074785643197695,0.0146
lowest20_edema,42,conf_consistency,conf_morph,auprc_diff,-0.04514028980466576,-0.09858131858791681,0.007092842505597831,0.0454
lowest20_edema,42,conf_consistency,conf_morph,capture20_diff,-0.01704699754403025,-0.0875183823529412,0.04879554351099049,0.2486
lowest20_edema,42,conf_consistency,conf_morph,aurc_diff,-0.0034593958784026944,-0.009469634720929794,0.0022370735895634983,0.1126
lowest20_edema,42,conf_consistency,conf_morph,dice80_diff,0.0001605606757223179,-0.004260870667660005,0.0048660974758164685,0.521
lowest20_edema,42,conf_consistency,conf_pooled,auprc_diff,0.0737387070647796,-0.014326756147073258,0.16393546112688756,0.9486
lowest20_edema,42,conf_consistency,conf_pooled,capture20_diff,0.027219104387988573,-0.05815663474692201,0.11428571428571421,0.6818
lowest20_edema,42,conf_consistency,conf_pooled,aurc_diff,0.0023372412232647408,-0.008777533047743789,0.013227545301952671,0.6656
lowest20_edema,42,conf_consistency,conf_pooled,dice80_diff,0.003276733737387562,-0.003956555578476362,0.010728174061692235,0.8056
lowest20_edema,42,conf_morph_consistency,conf_consistency,auprc_diff,0.023934336509753153,-0.011497774519681375,0.061803883397712346,0.9028
lowest20_edema,42,conf_morph_consistency,conf_consistency,capture20_diff,0.001981861934602008,-0.06849315068493156,0.07352941176470584,0.4624
lowest20_edema,42,conf_morph_consistency,conf_consistency,aurc_diff,0.0012637540016829127,-0.004146456727421935,0.007043027586727024,0.667
lowest20_edema,42,conf_morph_consistency,conf_consistency,dice80_diff,-0.0006279367260143973,-0.003789726707200916,0.0028964832966567582,0.3258
lowest20_edema,42,consistency,morphology,auprc_diff,-0.1091610137650774,-0.210021036922424,-0.010589200437063993,0.0164
lowest20_edema,42,consistency,morphology,capture20_diff,-0.1371722726107053,-0.24242424242424238,-0.0357142857142857,0.003
lowest20_edema,42,consistency,morphology,aurc_diff,-0.019638171765363963,-0.033378199241578164,-0.006551710135868438,0.0018
lowest20_edema,42,consistency,morphology,dice80_diff,-0.004233170521091224,-0.012635641437244745,0.0040852527425556335,0.1622
