outer_fold,model_seed,method,failure_def,auprc,auroc,capture_at_20,n_test,n_pos
0,42,conf_morph_consistency,lowest20_edema,0.6311266202028666,0.9176136363636365,0.8181818181818182,75,11
1,42,confidence,lowest20_mean_fg,0.789351851851852,0.9338624338624338,0.75,75,12
1,42,confidence,mean_fg_lt_0.80,0.9269775350024534,0.9717813051146384,0.6190476190476191,75,21
1,42,confidence,mean_fg_lt_0.70,0.8087102511015555,0.9510582010582009,0.75,75,12
1,42,confidence,edema_lt_0.70,0.901653643913706,0.9645030425963488,0.6470588235294118,75,17
1,42,confidence,lowest20_edema,0.8886372496898811,0.9611111111111112,0.7333333333333333,75,15
1,42,morphology,lowest20_mean_fg,0.6883691925358593,0.8558201058201059,0.75,75,12
1,42,morphology,mean_fg_lt_0.80,0.7843137895124535,0.8712522045855379,0.6190476190476191,75,21
1,42,morphology,mean_fg_lt_0.70,0.6824028461959497,0.8611111111111112,0.75,75,12
1,42,morphology,edema_lt_0.70,0.9100269083005657,0.9726166328600405,0.7647058823529411,75,17
1,42,morphology,lowest20_edema,0.8916428594289005,0.97,0.8,75,15
1,42,consistency,lowest20_mean_fg,0.6954596022806286,0.876984126984127,0.6666666666666666,75,12
1,42,consistency,mean_fg_lt_0.80,0.7832840139336295,0.8615520282186948,0.5238095238095238,75,21
1,42,consistency,mean_fg_lt_0.70,0.6895069176319177,0.8743386243386244,0.6666666666666666,75,12
1,42,consistency,edema_lt_0.70,0.8520112322658783,0.9158215010141987,0.6470588235294118,75,17
1,42,consistency,lowest20_edema,0.7784414762318799,0.89,0.6666666666666666,75,15
1,42,conf_morph,lowest20_mean_fg,0.8585813492063493,0.9695767195767195,0.8333333333333334,75,12
1,42,conf_morph,mean_fg_lt_0.80,0.9638277533235518,0.9841269841269841,0.7142857142857143,75,21
1,42,conf_morph,mean_fg_lt_0.70,0.8735181485181486,0.9748677248677249,0.9166666666666666,75,12
1,42,conf_morph,edema_lt_0.70,0.9528296386427875,0.9827586206896552,0.8235294117647058,75,17
1,42,conf_morph,lowest20_edema,0.9247138047138047,0.9755555555555555,0.8,75,15
1,42,conf_pooled,lowest20_mean_fg,0.9373588829471183,0.9854497354497355,0.9166666666666666,75,12
1,42,conf_pooled,mean_fg_lt_0.80,0.9497942888107687,0.9735449735449735,0.7142857142857143,75,21
1,42,conf_pooled,mean_fg_lt_0.70,0.9176421073479898,0.9801587301587301,0.8333333333333334,75,12
1,42,conf_pooled,edema_lt_0.70,0.9110228007286831,0.9665314401622718,0.7647058823529411,75,17
1,42,conf_pooled,lowest20_edema,0.6864482122815456,0.8833333333333333,0.5333333333333333,75,15
1,42,conf_consistency,lowest20_mean_fg,0.9692982456140352,0.9907407407407407,0.9166666666666666,75,12
1,42,conf_consistency,mean_fg_lt_0.80,0.9516132010902507,0.982363315696649,0.6190476190476191,75,21
1,42,conf_consistency,mean_fg_lt_0.70,0.9593656343656344,0.9920634920634921,1.0,75,12
1,42,conf_consistency,edema_lt_0.70,0.9260019392372334,0.9695740365111563,0.7647058823529411,75,17
1,42,conf_consistency,lowest20_edema,0.9052869352869352,0.9644444444444444,0.8,75,15
1,42,conf_morph_consistency,lowest20_mean_fg,0.9144149831649833,0.9814814814814815,0.9166666666666666,75,12
1,42,conf_morph_consistency,mean_fg_lt_0.80,0.9768265708115333,0.990299823633157,0.7142857142857143,75,21
1,42,conf_morph_consistency,mean_fg_lt_0.70,0.854574013949014,0.9682539682539683,0.8333333333333334,75,12
1,42,conf_morph_consistency,edema_lt_0.70,0.9688375350140057,0.9878296146044625,0.8823529411764706,75,17
1,42,conf_morph_consistency,lowest20_edema,0.9292159886896728,0.9777777777777779,0.8,75,15
2,42,confidence,lowest20_mean_fg,0.8213061013061013,0.9166666666666666,0.7333333333333333,75,15
2,42,confidence,mean_fg_lt_0.80,0.8609579264496963,0.9223985890652557,0.6666666666666666,75,21
2,42,confidence,mean_fg_lt_0.70,0.7981255677565333,0.9122222222222223,0.6666666666666666,75,15
2,42,confidence,edema_lt_0.70,0.8647810585896691,0.9541910331384016,0.7222222222222222,75,18
2,42,confidence,lowest20_edema,0.7793691177017018,0.9180327868852459,0.7857142857142857,75,14
2,42,morphology,lowest20_mean_fg,0.8392870339839109,0.8877777777777778,0.8,75,15
2,42,morphology,mean_fg_lt_0.80,0.7100239040554948,0.7821869488536155,0.5238095238095238,75,21
2,42,morphology,mean_fg_lt_0.70,0.8479253505115574,0.8866666666666666,0.8,75,15
2,42,morphology,edema_lt_0.70,0.7978001607510146,0.8615984405458089,0.6666666666666666,75,18
2,42,morphology,lowest20_edema,0.7342663671937943,0.8185011709601873,0.6428571428571429,75,14
2,42,consistency,lowest20_mean_fg,0.785796651915073,0.8255555555555556,0.6666666666666666,75,15
2,42,consistency,mean_fg_lt_0.80,0.7246865900650645,0.7495590828924162,0.5714285714285714,75,21
2,42,consistency,mean_fg_lt_0.70,0.7810638013119273,0.7944444444444444,0.7333333333333333,75,15
2,42,consistency,edema_lt_0.70,0.6348908971665309,0.6910331384015593,0.5555555555555556,75,18
2,42,consistency,lowest20_edema,0.6310384083417666,0.7236533957845434,0.6428571428571429,75,14
2,42,conf_morph,lowest20_mean_fg,0.8187391149155855,0.9577777777777777,0.7333333333333333,75,15
2,42,conf_morph,mean_fg_lt_0.80,0.8878660094192512,0.9523809523809524,0.5714285714285714,75,21
2,42,conf_morph,mean_fg_lt_0.70,0.8613180174944881,0.9622222222222223,0.8,75,15
2,42,conf_morph,edema_lt_0.70,0.9475170502983803,0.9639376218323586,0.8333333333333334,75,18
2,42,conf_morph,lowest20_edema,0.8441016537547915,0.905152224824356,0.7857142857142857,75,14
2,42,conf_pooled,lowest20_mean_fg,0.8959219974419611,0.9511111111111112,0.8,75,15
2,42,conf_pooled,mean_fg_lt_0.80,0.86644577566135,0.8932980599647267,0.5714285714285714,75,21
2,42,conf_pooled,mean_fg_lt_0.70,0.9048095179674127,0.9544444444444445,0.8666666666666667,75,15
2,42,conf_pooled,edema_lt_0.70,0.8441942682074262,0.9600389863547758,0.6666666666666666,75,18
2,42,conf_pooled,lowest20_edema,0.844119769119769,0.9484777517564402,0.7857142857142857,75,14
2,42,conf_consistency,lowest20_mean_fg,0.8885583697348403,0.9544444444444444,0.8,75,15
2,42,conf_consistency,mean_fg_lt_0.80,0.9085215147687506,0.9506172839506173,0.6190476190476191,75,21
2,42,conf_consistency,mean_fg_lt_0.70,0.8652052375965419,0.9633333333333334,0.8,75,15
2,42,conf_consistency,edema_lt_0.70,0.8617463369499712,0.9415204678362573,0.6666666666666666,75,18
2,42,conf_consistency,lowest20_edema,0.7067133907572849,0.8454332552693209,0.7142857142857143,75,14
2,42,conf_morph_consistency,lowest20_mean_fg,0.906987456987457,0.98,0.8666666666666667,75,15
2,42,conf_morph_consistency,mean_fg_lt_0.80,0.9080799550834935,0.9541446208112874,0.6666666666666666,75,21
2,42,conf_morph_consistency,mean_fg_lt_0.70,0.9081069205991806,0.9777777777777777,0.8,75,15
2,42,conf_morph_consistency,edema_lt_0.70,0.9325486704653372,0.9551656920077972,0.7777777777777778,75,18
2,42,conf_morph_consistency,lowest20_edema,0.7976233693939951,0.8911007025761124,0.7142857142857143,75,14
3,42,confidence,lowest20_mean_fg,0.8579938035820387,0.9739454094292804,0.8461538461538461,75,13
3,42,confidence,mean_fg_lt_0.80,0.9304794363714294,0.9383999999999999,0.6,75,25
3,42,confidence,mean_fg_lt_0.70,0.8579938035820387,0.9739454094292804,0.8461538461538461,75,13
3,42,confidence,edema_lt_0.70,0.8683925188827151,0.9522417153996101,0.7222222222222222,75,18
3,42,confidence,lowest20_edema,0.7992212135863499,0.9322033898305084,0.75,75,16
3,42,morphology,lowest20_mean_fg,0.7505105628408795,0.8610421836228287,0.6153846153846154,75,13
3,42,morphology,mean_fg_lt_0.80,0.8617804778113266,0.856,0.56,75,25
3,42,morphology,mean_fg_lt_0.70,0.7505105628408795,0.8610421836228287,0.6153846153846154,75,13
3,42,morphology,edema_lt_0.70,0.8468205083965954,0.9239766081871346,0.6666666666666666,75,18
3,42,morphology,lowest20_edema,0.7932256007309322,0.8898305084745762,0.6875,75,16
3,42,consistency,lowest20_mean_fg,0.6460604148331772,0.7803970223325062,0.5384615384615384,75,13
3,42,consistency,mean_fg_lt_0.80,0.6781534847424374,0.7528,0.44,75,25
3,42,consistency,mean_fg_lt_0.70,0.6460604148331772,0.7803970223325062,0.5384615384615384,75,13
3,42,consistency,edema_lt_0.70,0.5587188643944487,0.746588693957115,0.3333333333333333,75,18
3,42,consistency,lowest20_edema,0.41151544909569865,0.6800847457627119,0.25,75,16
3,42,conf_morph,lowest20_mean_fg,0.8135534902503228,0.9404466501240695,0.8461538461538461,75,13
3,42,conf_morph,mean_fg_lt_0.80,0.9278725701092944,0.9528,0.6,75,25
3,42,conf_morph,mean_fg_lt_0.70,0.8135534902503228,0.9404466501240695,0.8461538461538461,75,13
3,42,conf_morph,edema_lt_0.70,0.9121040681025202,0.9658869395711501,0.6666666666666666,75,18
3,42,conf_morph,lowest20_edema,0.8909847990920505,0.954449152542373,0.75,75,16
3,42,conf_pooled,lowest20_mean_fg,0.7220052596975672,0.8970223325062034,0.6923076923076923,75,13
3,42,conf_pooled,mean_fg_lt_0.80,0.8906375415663342,0.9087999999999999,0.6,75,25
3,42,conf_pooled,mean_fg_lt_0.70,0.7220052596975672,0.8970223325062034,0.6923076923076923,75,13
3,42,conf_pooled,edema_lt_0.70,0.8305286295645773,0.928849902534113,0.6666666666666666,75,18
3,42,conf_pooled,lowest20_edema,0.7910001456876457,0.8983050847457628,0.75,75,16
3,42,conf_consistency,lowest20_mean_fg,0.8607819530896452,0.967741935483871,0.8461538461538461,75,13
3,42,conf_consistency,mean_fg_lt_0.80,0.9181360829174138,0.9288000000000001,0.6,75,25
3,42,conf_consistency,mean_fg_lt_0.70,0.8607819530896452,0.967741935483871,0.8461538461538461,75,13
3,42,conf_consistency,edema_lt_0.70,0.8136262828922788,0.942495126705653,0.6666666666666666,75,18
3,42,conf_consistency,lowest20_edema,0.7345724179823445,0.9184322033898304,0.625,75,16
3,42,conf_morph_consistency,lowest20_mean_fg,0.8399352783968168,0.9503722084367245,0.8461538461538461,75,13
3,42,conf_morph_consistency,mean_fg_lt_0.80,0.935908980246777,0.9512,0.6,75,25
3,42,conf_morph_consistency,mean_fg_lt_0.70,0.8399352783968168,0.9503722084367245,0.8461538461538461,75,13
3,42,conf_morph_consistency,edema_lt_0.70,0.830713674106347,0.9444444444444445,0.6666666666666666,75,18
3,42,conf_morph_consistency,lowest20_edema,0.7743819183375105,0.9269067796610169,0.625,75,16
4,42,confidence,lowest20_mean_fg,0.9051627364645671,0.9382716049382716,0.5185185185185185,75,27
