case_id,dice_bin,baseline_dice,direction_type,random_direction_id,sign,alpha,perturbation_rms_ratio,edema_fraction_before,edema_fraction_after,edema_fraction_delta,analytical_probe_pred_delta,dice_before,dice_after,dice_delta,changed_voxels,source
BraTS2021_00030,medium,0.913738637096282,random,random_02,-1,-1.0,0.24075381457805634,0.6667691172850585,0.6639716400269519,-0.00279747725810664,-24.750614006009318,0.913738637096282,0.9230869678767554,0.009348330780473368,200,downstream_from_cached_decoder1
BraTS2021_00030,medium,0.913738637096282,random,random_02,1,1.0,0.24075381457805634,0.6667691172850585,0.6687336616203606,0.001964544335302132,24.75061400600932,0.913738637096282,0.9191665053867754,0.005427868290493354,189,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,probe,,-1,-1.0,0.24145253747701645,0.7683168316819005,0.7861635220113425,0.017846690329442,-8.114035886373353,0.9045069936108578,0.8944622117489527,-0.0100447818619051,355,existing_editing_results
BraTS2021_01375,medium,0.912265758092068,probe,,1,1.0,0.24145253747701645,0.7683168316819005,0.7512068965504289,-0.0171099351314715,8.114035886373353,0.9045069936108578,0.9088500264971658,0.0043430328863079,321,existing_editing_results
BraTS2021_01375,medium,0.912265758092068,random,random_00,-1,-1.0,0.24145253747701645,0.7683168316819005,0.7741673436218129,0.005850511939912484,5.9852642795978115,0.912265758092068,0.9017727155948431,-0.010493042497224936,115,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,random,random_00,1,1.0,0.24145253747701645,0.7683168316819005,0.7620562625573308,-0.006260569124569626,-5.985264279597811,0.912265758092068,0.9049939098660997,-0.007271848225968269,109,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,random,random_01,-1,-1.0,0.24145253747701645,0.7683168316819005,0.7655401856053834,-0.002776646076517064,16.328442630602414,0.912265758092068,0.9087510015134793,-0.0035147565785886847,363,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,random,random_01,1,1.0,0.24145253747701645,0.7683168316819005,0.7744825455656866,0.0061657138837861725,-16.328442630602414,0.912265758092068,0.8889629876626468,-0.023302770429421193,429,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,random,random_02,-1,-1.0,0.24145253747701645,0.7683168316819005,0.7657536548466379,-0.002563176835262526,-24.750614006009325,0.912265758092068,0.9056044626515248,-0.006661295440543169,121,downstream_from_cached_decoder1
BraTS2021_01375,medium,0.912265758092068,random,random_02,1,1.0,0.24145253747701645,0.7683168316819005,0.773486938178203,0.005170106496302562,24.750614006009325,0.912265758092068,0.90166880616183,-0.010596951930238019,121,downstream_from_cached_decoder1
