case_id,inference_mode,tta_augmentations,overlap,checkpoint_epoch,path_saved_prediction,mask_exact_match,mask_agree_fraction,mask_n_disagree_voxels,mask_usable_with_old_dice,conf_mean_maxprob_all,conf_mean_maxprob_fg,conf_mean_entropy_fg,conf_mean_entropy_boundary,conf_entropy_p95_boundary,conf_mean_margin_all,conf_mean_margin_fg,conf_frac_maxprob_lt_0.60,conf_frac_maxprob_lt_0.70,conf_frac_maxprob_lt_0.80,conf_frac_maxprob_lt_0.90,conf_frac_margin_lt_0.10,conf_frac_margin_lt_0.20,pred_tumor_voxels,pred_boundary_voxels
BraTS2021_00652,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00652_pred_tta.npy,True,1.0,0,True,0.996875650177864,0.928731331719129,0.2022125430919533,0.27804328864832517,0.7020092646654741,0.9941640119822457,0.8683129045808813,0.001925293087782284,0.003548633734459145,0.005561188307515014,0.008911752321432528,0.0008130554262792811,0.0016164151319726081,22690.0,10323.0
BraTS2021_00655,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00655_pred_tta.npy,True,1.0,0,True,0.9974531119147448,0.934014509448495,0.17061330130268332,0.32478899541803163,0.8109962224789823,0.9951979405632386,0.8758221386800485,0.0016915954415954416,0.003112225938312895,0.0047934989058177465,0.0071857322763119865,0.0007354762789545398,0.001442565754159957,16561.0,10652.0
BraTS2021_00659,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00659_pred_tta.npy,True,1.0,0,True,0.9972398310660985,0.8841057786616412,0.24915585910074795,0.4005391921504101,0.6964945488767327,0.9946051483037935,0.7731421428929425,0.0016484664041055018,0.003307375581811672,0.005040875999522616,0.007864900346103354,0.0008100608664518439,0.001576858813700919,6050.0,5272.0
BraTS2021_00667,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00667_pred_tta.npy,True,1.0,0,True,0.9981639196514245,0.9587352148845956,0.11327518880032274,0.27268679368084814,0.6984527119252723,0.9964407605338738,0.9198724408689685,0.0007831249210559555,0.0016869465145327215,0.0027900579624717554,0.005138029275960311,0.0003606865675831193,0.0007480386790731619,10853.0,5727.0
BraTS2021_00675,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00675_pred_tta.npy,True,1.0,0,True,0.9975487125199821,0.8656505965551877,0.2788852296615562,0.43377038462105477,0.8319864683602648,0.9952251751841374,0.7400718495497846,0.0012502672112149954,0.002563821289139411,0.004596032897919691,0.0074312845265017274,0.0006047411707789066,0.0011827612200582802,2517.0,2496.0
BraTS2021_00676,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00676_pred_tta.npy,True,1.0,0,True,0.9974844438311611,0.8968850552722327,0.2492885842396395,0.40329571960202143,0.9131069596323904,0.9952604715226823,0.8081377808223812,0.0018336142903616953,0.0033552184071215215,0.0048812586874870615,0.006955904533759205,0.0008073817762399078,0.0015940614556531512,8368.0,5676.0
BraTS2021_00679,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00679_pred_tta.npy,True,1.0,0,True,0.9961194036256567,0.9184368984392459,0.22644795114368185,0.3452965189103859,0.7691225535175177,0.9927535443213356,0.8501926075394379,0.0025260218329525262,0.004736290936785986,0.0074162223914699165,0.011157654226961158,0.0010265930439197766,0.002088093424727088,19887.0,10902.0
BraTS2021_00680,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00680_pred_tta.npy,True,1.0,0,True,0.9987550009840169,0.9450335646511726,0.1310110460183006,0.293039211537309,0.6902419777598469,0.9975906055405155,0.8920124488685658,0.0006678167228625944,0.0013212577432760919,0.002053111686139209,0.003085548498392535,0.00030450351551268985,0.0006416790820460546,8113.0,4704.0
BraTS2021_00683,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00683_pred_tta.npy,True,1.0,0,True,0.9966560615394241,0.900772334030096,0.25373061932931007,0.36633112439293436,0.8272227319283398,0.9937218707954252,0.8162073983445347,0.0022711545866013995,0.004201703298626537,0.006389389251932568,0.009532925683298466,0.0009760445022442292,0.001941318858256798,14582.0,9496.0
BraTS2021_00687,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00687_pred_tta.npy,True,1.0,0,True,0.998661537791636,0.9542459743352257,0.11627238671730179,0.25647109495402937,0.7003845786556779,0.9974522920710079,0.9122328163717716,0.0008355047014840829,0.0015703082713391992,0.002437282076457334,0.0036032123660989642,0.000354027415883086,0.0007584053975806553,9831.0,5709.0
