outer_fold,failure_def,feature,coefficient
3,lowest_20pct,out_gt_compactness,0.2632291211324054
3,lowest_20pct,n_components,0.3544418727409437
3,lowest_20pct,surface_to_volume,0.36286062513964185
4,lowest_20pct,absolute_gap_gt_compactness,0.0005084360382993884
4,lowest_20pct,absolute_gap_gt_edema_frac,0.0763802016614965
4,lowest_20pct,absolute_gap_gt_enhancing_frac,-0.14843692500144368
4,lowest_20pct,absolute_gap_gt_necrosis_frac,0.019963254105885706
4,lowest_20pct,absolute_gap_log_wt_volume,0.11898835484400086
4,lowest_20pct,relative_gap_gt_compactness,-0.058657763004866074
4,lowest_20pct,relative_gap_gt_edema_frac,-0.041720046825512766
4,lowest_20pct,relative_gap_gt_enhancing_frac,0.7157852619799879
4,lowest_20pct,relative_gap_gt_necrosis_frac,-0.093433843447556
4,lowest_20pct,relative_gap_log_wt_volume,0.1564927548017835
4,lowest_20pct,signed_gap_gt_compactness,0.03831813601170558
4,lowest_20pct,signed_gap_gt_edema_frac,0.12488438662886328
4,lowest_20pct,signed_gap_gt_enhancing_frac,-0.4147216565599876
4,lowest_20pct,signed_gap_gt_necrosis_frac,-0.014478191125303823
4,lowest_20pct,signed_gap_log_wt_volume,-0.2544871627151843
4,lowest_20pct,standardized_gap_gt_compactness,0.0005084360382994888
4,lowest_20pct,standardized_gap_gt_edema_frac,0.0763802016614964
4,lowest_20pct,standardized_gap_gt_enhancing_frac,-0.14843692500144387
4,lowest_20pct,standardized_gap_gt_necrosis_frac,0.019963254105885633
4,lowest_20pct,standardized_gap_log_wt_volume,0.11898835484400073
4,lowest_20pct,pred_tumor_volume,-0.06638304456841151
4,lowest_20pct,pred_edema_volume,-0.07665543916804884
4,lowest_20pct,pred_enhancing_volume,-0.5711352099283805
4,lowest_20pct,pred_necrosis_volume,0.5608647367676816
4,lowest_20pct,out_log_wt_volume,-0.2015362294755045
4,lowest_20pct,out_gt_edema_frac,-0.025201799092966996
4,lowest_20pct,out_gt_enhancing_frac,0.009255605689455052
4,lowest_20pct,out_gt_necrosis_frac,0.030169584214804247
4,lowest_20pct,out_gt_compactness,0.2503718589911213
4,lowest_20pct,n_components,0.3443685340309765
4,lowest_20pct,surface_to_volume,0.36168594358443124
