layer,target,target_label,r2,mae,spearman,n_cases,cv_folds
encoder4,gt_necrosis_voxels,Necrosis volume,0.23481836164580838,1358.8281066080729,0.5623745897651431,375,5
encoder4,gt_edema_frac,Edema fraction,0.038369247545565255,0.16746541632503237,0.22893321196950736,375,5
encoder4,gt_enhancing_frac,Enhancing fraction,0.1374222716154393,0.11213807080265761,0.39117077459049204,375,5
encoder4,gt_necrosis_frac,Necrosis fraction,0.025870949620518058,0.109438371864543,0.15882058286034617,375,5
encoder4,gt_compactness,Boundary complexity,0.043044252311211006,0.956532774732902,0.27249243372397314,375,5
encoder4,boundary_to_volume_ratio,Boundary-to-volume ratio,0.37622894992815104,0.05106642773671555,0.6481963818409375,375,5
encoder4,gt_elongation,Elongation,-0.018852874257063057,1.3657004413239016,0.21131163954943682,375,5
encoder4,gt_n_components,Multifocality (# components),0.003912193273764908,3.2203324820200603,0.10603574141194617,375,5
encoder4,false_positive_voxels,False-positive voxels,0.09648936038301559,744.4070844726563,0.3905307999950617,375,5
encoder4,false_negative_voxels,False-negative voxels,0.0977880438637232,750.8058881835938,0.43665165012625956,375,5
encoder4,boundary_error_fraction,Boundary error fraction,0.3199467864727241,0.13539319854652626,0.4899606822351271,375,5
encoder4,dice,Dice,0.33350190763236887,0.06141928175443898,0.5678473091364205,375,5
bottleneck,centroid_x,Centroid X,0.8481682759688206,0.029295736063398144,0.9324983502104904,375,5
bottleneck,centroid_y,Centroid Y,0.8364792519560491,0.03184020569786218,0.9252586187279555,375,5
bottleneck,centroid_z,Centroid Z,0.9399957390165231,0.028863526084073186,0.9477430879508477,375,5
bottleneck,gt_wt_voxels,Whole-tumor volume,0.24021137806699777,4902.0317005208335,0.5089779289971526,375,5
bottleneck,log_wt_volume,log(WT volume),0.2569484601839729,0.5253865596536029,0.5200737626788569,375,5
bottleneck,gt_edema_voxels,Edema volume,0.09135684265176913,3917.671638020833,0.3313212151125821,375,5
bottleneck,gt_enhancing_voxels,Enhancing volume,0.3234029562668356,1347.4601526692709,0.620363623168535,375,5
bottleneck,gt_necrosis_voxels,Necrosis volume,0.002476967423029719,1598.3953764648438,0.18753556687695472,375,5
bottleneck,gt_edema_frac,Edema fraction,-0.012346908082896402,0.17243036343351423,0.028501536010922746,375,5
bottleneck,gt_enhancing_frac,Enhancing fraction,0.03834799339309991,0.1201193670219537,0.23800080036310498,375,5
bottleneck,gt_necrosis_frac,Necrosis fraction,-0.029382791294918276,0.11345771969582583,-0.06098566746400954,375,5
bottleneck,gt_compactness,Boundary complexity,0.008750710352231517,0.9857677221350729,0.13875753783138012,375,5
bottleneck,boundary_to_volume_ratio,Boundary-to-volume ratio,0.20125125418251433,0.05957264404923705,0.45713869609739444,375,5
bottleneck,gt_elongation,Elongation,0.038073978989040635,1.2954817286524718,0.3189161451814769,375,5
bottleneck,gt_n_components,Multifocality (# components),0.03592104981068878,3.2399808349609374,0.11393816466038283,375,5
bottleneck,false_positive_voxels,False-positive voxels,0.014321862865053547,771.7757049153646,0.2910749928981856,375,5
bottleneck,false_negative_voxels,False-negative voxels,0.04229197510170957,791.3953487141927,0.2267563881755391,375,5
bottleneck,boundary_error_fraction,Boundary error fraction,0.21496135816966977,0.14409611643037748,0.4457660757059479,375,5
bottleneck,dice,Dice,0.2895454984572887,0.06353125143083538,0.49665946068949823,375,5
decoder4,centroid_x,Centroid X,0.8417152509210035,0.028858770078521626,0.9330824894754807,375,5
decoder4,centroid_y,Centroid Y,0.8240451717440639,0.03530462238290859,0.9119456138354763,375,5
decoder4,centroid_z,Centroid Z,0.9244636546271252,0.031093488622565217,0.9394606894982365,375,5
decoder4,gt_wt_voxels,Whole-tumor volume,0.3910529171117081,4475.617049479167,0.6419159499183122,375,5
decoder4,log_wt_volume,log(WT volume),0.4030366224247859,0.4907142173878393,0.6296211468019611,375,5
decoder4,gt_edema_voxels,Edema volume,0.16588474165323774,3822.865955078125,0.40850898051902573,375,5
decoder4,gt_enhancing_voxels,Enhancing volume,0.33551888152918996,1318.1296901041667,0.6561279011876949,375,5
decoder4,gt_necrosis_voxels,Necrosis volume,0.07343058463560015,1524.0032615559896,0.37409342362197795,375,5
decoder4,gt_edema_frac,Edema fraction,-0.022033949451376822,0.1729394440089205,0.012285129138696099,375,5
decoder4,gt_enhancing_frac,Enhancing fraction,0.05438084534347276,0.11830123220019999,0.26871446427136186,375,5
decoder4,gt_necrosis_frac,Necrosis fraction,-0.023286868387718762,0.11355071817930411,-0.04659538561125896,375,5
decoder4,gt_compactness,Boundary complexity,0.05473086196281918,0.963754463120564,0.24639162589600638,375,5
decoder4,boundary_to_volume_ratio,Boundary-to-volume ratio,0.16189452646946068,0.0593242522202139,0.47202503128911144,375,5
decoder4,gt_elongation,Elongation,0.025561146652420152,1.2998424909521091,0.3293287063374673,375,5
decoder4,gt_n_components,Multifocality (# components),0.009972532545783563,3.2353609498341878,0.05683904437915601,375,5
decoder4,false_positive_voxels,False-positive voxels,0.035456938326218435,767.1186985677083,0.2529869510447513,375,5
decoder4,false_negative_voxels,False-negative voxels,0.05092924091766671,784.2080850423177,0.3119357276528519,375,5
decoder4,boundary_error_fraction,Boundary error fraction,0.26190158930574703,0.1415339817415558,0.4247567580125067,375,5
decoder4,dice,Dice,0.28407900278944687,0.06361422354360655,0.4813266583229036,375,5
decoder3,centroid_x,Centroid X,0.7521897481825098,0.0403390183944756,0.8876522926385256,375,5
decoder3,centroid_y,Centroid Y,0.8373998408696637,0.03609556666922167,0.9224030037546934,375,5
decoder3,centroid_z,Centroid Z,0.906679623137546,0.04052664486428068,0.9248080555239504,375,5
decoder3,gt_wt_voxels,Whole-tumor volume,0.6733196943926385,3212.8945325520835,0.8466166450373744,375,5
decoder3,log_wt_volume,log(WT volume),0.6685351010062182,0.3575901588140119,0.8271237517633055,375,5
decoder3,gt_edema_voxels,Edema volume,0.42377382898652016,3068.4271321614583,0.663198352621993,375,5
decoder3,gt_enhancing_voxels,Enhancing volume,0.5527391139677738,1025.3801848958333,0.7990757840002299,375,5
decoder3,gt_necrosis_voxels,Necrosis volume,0.24899513045849586,1290.4280003255208,0.6149274480401078,375,5
decoder3,gt_edema_frac,Edema fraction,0.18339390162458857,0.15082573475856864,0.46577744908408236,375,5
decoder3,gt_enhancing_frac,Enhancing fraction,0.19955296274225853,0.10653872357769485,0.5027818748882716,375,5
decoder3,gt_necrosis_frac,Necrosis fraction,0.24236930904536624,0.09460875285339813,0.44438999457806616,375,5
decoder3,gt_compactness,Boundary complexity,0.16490414575286882,0.8853827517983758,0.4552567982705655,375,5
decoder3,boundary_to_volume_ratio,Boundary-to-volume ratio,0.5528086003641565,0.04351387203126809,0.7473089088633519,375,5
decoder3,gt_elongation,Elongation,0.00010685135251009559,1.346913081898876,0.28964273523722833,375,5
decoder3,gt_n_components,Multifocality (# components),0.036690764344985194,3.1514059022267658,0.18384850922427337,375,5
decoder3,false_positive_voxels,False-positive voxels,0.054472686517337165,816.694151204427,0.3545637098471729,375,5
decoder3,false_negative_voxels,False-negative voxels,0.20004583809892285,696.5703513997396,0.5425514969120246,375,5
decoder3,boundary_error_fraction,Boundary error fraction,0.32088264805604994,0.13609588686158852,0.4806643336553809,375,5
decoder3,dice,Dice,0.39909124936141827,0.05887484295753521,0.6365067698259188,375,5
decoder2,centroid_x,Centroid X,0.4440783280154834,0.06355103279827051,0.6861658891796564,375,5
decoder2,centroid_y,Centroid Y,0.6148617051798992,0.05806018822610586,0.8018912276709524,375,5
decoder2,centroid_z,Centroid Z,0.6905644085178155,0.07344381666006014,0.808254636477415,375,5
decoder2,gt_wt_voxels,Whole-tumor volume,0.8223748509045932,2317.4588346354167,0.9133235665772377,375,5
decoder2,log_wt_volume,log(WT volume),0.7519048150715157,0.29225652337272967,0.8919961069510088,375,5
decoder2,gt_edema_voxels,Edema volume,0.7506531201132537,1915.1030807291668,0.8633453204811952,375,5
decoder2,gt_enhancing_voxels,Enhancing volume,0.7013434810025521,829.2464833984375,0.8627708950949561,375,5
decoder2,gt_necrosis_voxels,Necrosis volume,0.4290617836635696,1066.4237013346353,0.7244736502549842,375,5
decoder2,gt_edema_frac,Edema fraction,0.5717908237623859,0.10516220183371638,0.7817371714643304,375,5
decoder2,gt_enhancing_frac,Enhancing fraction,0.5229019771653388,0.08123531224927766,0.7579229017927733,375,5
decoder2,gt_necrosis_frac,Necrosis fraction,0.47500147847651875,0.07281569073078765,0.6720420347853099,375,5
decoder2,gt_compactness,Boundary complexity,0.42956711522305724,0.7368042653270878,0.6635742405279327,375,5
decoder2,boundary_to_volume_ratio,Boundary-to-volume ratio,0.6161121633113193,0.040694150592616316,0.7930246899533507,375,5
decoder2,gt_elongation,Elongation,0.056658975932379674,1.3311845321475992,0.3015858459437934,375,5
decoder2,gt_n_components,Multifocality (# components),0.07169219000771876,3.096365031560262,0.2571765763824934,375,5
decoder2,false_positive_voxels,False-positive voxels,0.1803024302057541,761.7186336263021,0.4501265732926763,375,5
decoder2,false_negative_voxels,False-negative voxels,0.28940746061953204,643.8272251790364,0.6240835392190262,375,5
