layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder1,zero,boundary_complexity,Boundary complexity,3,6.212924539013352,-6.212924539013352,6.212924539013352,0.0
decoder1,zero,dice,Dice,4,0.8831681764067582,-0.8831681764067582,0.8831681764083926,1.6346497018029887e-12
decoder1,zero,edema_fraction,Edema fraction,5,0.6238905015218923,-0.6238905015218923,0.6238905015218923,0.0
decoder1,zero,enhancing_fraction,Enhancing fraction,6,0.24498667172757516,-0.24498667172757516,0.24498667172757516,0.0
decoder1,zero,centroid_z,Centroid Z (normalized),7,0.15775985566129994,-0.004355134724829893,0.5043551347248298,0.5
decoder1,zero,necrosis_fraction,Necrosis fraction,8,0.13112282674917344,-0.13112282674917344,0.13112282674917344,0.0
decoder1,zero,false_positive_voxels,False-positive voxels,9,-1094.712,-1094.712,1094.712,0.0
decoder2,mean,tumor_volume,Tumor volume (pred WT voxels),1,20982.029333333332,20982.029333333332,11701.106666666667,32683.136
decoder2,mean,false_positive_voxels,False-positive voxels,2,20445.333333333332,20445.333333333332,1094.712,21540.04533333333
decoder2,mean,boundary_complexity,Boundary complexity,3,8.994782167513428,8.994782167513428,6.212924539013352,15.207706706526778
decoder2,mean,dice,Dice,4,0.39296105055625524,-0.39296105055625524,0.8831681764083926,0.4902071258521375
decoder2,mean,edema_fraction,Edema fraction,5,0.1566181026611914,-0.06641681628898939,0.6238905015218923,0.5574736852329029
decoder2,mean,necrosis_fraction,Necrosis fraction,6,0.12236113917068314,0.08191881199114613,0.13112282674917344,0.2130416387403196
decoder2,mean,enhancing_fraction,Enhancing fraction,7,0.0976655397173122,-0.01550199570113064,0.24498667172757516,0.2294846760264445
decoder2,mean,centroid_z,Centroid Z (normalized),8,0.09202874125061014,-0.007556395419673182,0.5043551347248298,0.49679873930515667
decoder2,mean,false_negative_voxels,False-negative voxels,9,-536.696,-536.696,996.0666666666667,459.3706666666667
decoder2,noise,tumor_volume,Tumor volume (pred WT voxels),1,14032.464,14032.464,11701.106666666667,25733.570666666667
decoder2,noise,false_positive_voxels,False-positive voxels,2,13678.808,13678.808,1094.712,14773.52
decoder2,noise,boundary_complexity,Boundary complexity,3,7.253076154007938,7.253076154007938,6.212924539013352,13.46600069302129
decoder2,noise,dice,Dice,4,0.3254310738680186,-0.3254310738680186,0.8831681764083926,0.557737102540374
decoder2,noise,edema_fraction,Edema fraction,5,0.13733458935361495,-0.02333145822028009,0.6238905015218923,0.6005590433016121
decoder2,noise,necrosis_fraction,Necrosis fraction,6,0.08990624959498383,0.02523029040070547,0.13112282674917344,0.1563531171498789
decoder2,noise,enhancing_fraction,Enhancing fraction,7,0.08956076224514034,-0.0018988321794881872,0.24498667172757516,0.24308783954808696
decoder2,noise,centroid_z,Centroid Z (normalized),8,0.07861064913133674,-0.006410455884701877,0.5043551347248298,0.497944678840128
decoder2,noise,false_negative_voxels,False-negative voxels,9,-353.656,-353.656,996.0666666666667,642.4106666666667
decoder2,zero,tumor_volume,Tumor volume (pred WT voxels),1,22482.157333333333,22482.157333333333,11701.106666666667,34183.264
decoder2,zero,false_positive_voxels,False-positive voxels,2,21918.202666666668,21918.202666666668,1094.712,23012.914666666667
decoder2,zero,boundary_complexity,Boundary complexity,3,9.43418665213693,9.43418665213693,6.212924539013352,15.647111191150282
decoder2,zero,dice,Dice,4,0.4061340106730136,-0.4061340106730136,0.8831681764083926,0.47703416573537916
decoder2,zero,edema_fraction,Edema fraction,5,0.1587826252736853,-0.07184240158492039,0.6238905015218923,0.5520480999369718
decoder2,zero,necrosis_fraction,Necrosis fraction,6,0.13023756650335355,0.09423470028130597,0.13112282674917344,0.2253575270304794
decoder2,zero,enhancing_fraction,Enhancing fraction,7,0.09817226407568008,-0.022392298695345033,0.24498667172757516,0.22259437303223012
decoder2,zero,centroid_z,Centroid Z (normalized),8,0.09454302071670127,-0.0073561439180880135,0.5043551347248298,0.49699899080674187
decoder2,zero,false_negative_voxels,False-negative voxels,9,-563.9546666666666,-563.9546666666666,996.0666666666667,432.112
decoder3,mean,tumor_volume,Tumor volume (pred WT voxels),1,2526.0853333333334,-2516.3573333333334,11701.106666666667,9184.749333333333
decoder3,mean,false_negative_voxels,False-negative voxels,2,1749.096,1749.096,996.0666666666667,2745.1626666666666
decoder3,mean,boundary_complexity,Boundary complexity,3,0.585616905326819,-0.0342580112732265,6.212924539013352,6.178666527740125
decoder3,mean,dice,Dice,4,0.04974434149291077,-0.04974434149291077,0.8831681764083926,0.8334238349154819
decoder3,mean,edema_fraction,Edema fraction,5,0.046428330773201534,-0.02513118026033438,0.6238905015218923,0.5987593212615578
decoder3,mean,enhancing_fraction,Enhancing fraction,6,0.02897589799770279,0.015096927695357264,0.24498667172757516,0.2600835994229324
decoder3,mean,necrosis_fraction,Necrosis fraction,7,0.02509049348220907,0.010034252564176975,0.13112282674917344,0.14115707931335042
decoder3,mean,centroid_z,Centroid Z (normalized),8,0.010384646787308691,-0.0049579070305614484,0.5043551347248298,0.4993972276942685
decoder3,mean,false_positive_voxels,False-positive voxels,9,-767.2613333333334,-767.2613333333334,1094.712,327.4506666666667
decoder3,noise,tumor_volume,Tumor volume (pred WT voxels),1,2413.170666666667,-2400.7066666666665,11701.106666666667,9300.4
decoder3,noise,false_negative_voxels,False-negative voxels,2,1654.0106666666666,1654.0106666666666,996.0666666666667,2650.077333333333
decoder3,noise,boundary_complexity,Boundary complexity,3,0.5618558691028179,-0.04835678907976323,6.212924539013352,6.164567749933588
decoder3,noise,dice,Dice,4,0.04554692209085607,-0.04554692209085607,0.8831681764083926,0.8376212543175368
decoder3,noise,edema_fraction,Edema fraction,5,0.044938439796258466,-0.025651218039189256,0.6238905015218923,0.5982392834827029
decoder3,noise,enhancing_fraction,Enhancing fraction,6,0.02800509898040138,0.015387255460764714,0.24498667172757516,0.26037392718833985
decoder3,noise,necrosis_fraction,Necrosis fraction,7,0.024237973702762764,0.010263962577665913,0.13112282674917344,0.14138678932683935
decoder3,noise,centroid_z,Centroid Z (normalized),8,0.010053399300736607,-0.004789980854364997,0.5043551347248298,0.4995651538704649
decoder3,noise,false_positive_voxels,False-positive voxels,9,-746.696,-746.696,1094.712,348.016
decoder3,zero,tumor_volume,Tumor volume (pred WT voxels),1,2460.68,-2449.1066666666666,11701.106666666667,9252.0
decoder3,zero,false_negative_voxels,False-negative voxels,2,1693.6906666666666,1693.6906666666666,996.0666666666667,2689.7573333333335
