method,failure_def,model_seed,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,auprc_ci_low,auprc_ci_high,auroc_ci_low,auroc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,aurc_ci_low,aurc_ci_high,dice80_ci_low,dice80_ci_high,n_pos
conf_morph,mean_fg_lt_0.70,42,0.9604009797695727,0.8507659242091665,0.0748401276197855,0.8904109589041096,0.9072847682119205,0.6989247311827957,0.9716312056737588,0.849880351353004,-0.03599396401746541,0.7771580505359131,0.9128032295773463,0.9403379240142777,0.9769915408796058,0.4520547945205479,0.7808219178082192,0.958904109589041,0.6710484676882078,0.8787878787878788,0.10943581066549044,0.8972093810493722,0.8794372275845204,0.859784323169545,0.8346735289660047,0.10287325767333416,0.11721602769475228,0.8457465289110799,0.8724980617345045,73
conf_pooled,mean_fg_lt_0.70,42,0.9510568810668601,0.8271651126636668,0.07764124299284361,0.8767123287671232,0.8973509933774835,0.6736842105263158,0.9678571428571429,0.8675763104730038,-0.042536394805810146,0.7337384151278661,0.9091476378975026,0.9226801393499913,0.9724580926647571,0.4794520547945205,0.7808219178082192,0.9315068493150684,0.6883116883116883,0.8767123287671232,0.1125401492972252,0.8930385042766389,0.8760995326882091,0.8597941636594139,0.836808484342665,0.10571629454754879,0.12016437778305339,0.8475524415263274,0.8714281594180578,73
conf_consistency,mean_fg_lt_0.70,42,0.9726480994284679,0.8874090262072838,0.0639118569536956,0.863013698630137,0.9139072847682119,0.7078651685393258,0.965034965034965,0.8971265546014903,-0.0515204608937698,0.8160804385520495,0.943289280668336,0.9582269496548957,0.9851504572780145,0.4794520547945205,0.821917808219178,0.9863013698630136,0.7176470588235294,0.9074074074074074,0.1159833851936654,0.8935189890072244,0.8797035341458077,0.8622372174766013,0.8369753308507958,0.10865538610871717,0.12432466515288719,0.8479263510719341,0.872848140850548,73
conf_morph_consistency,mean_fg_lt_0.70,42,0.9641658350721218,0.8666875942237873,0.07009390326045138,0.9041095890410958,0.9105960264900662,0.7096774193548387,0.975177304964539,0.9008552807202114,-0.058491692369857184,0.7871393531829436,0.9316918362020816,0.9427468987248269,0.9810988984399157,0.4794520547945205,0.821917808219178,0.9726027397260274,0.6976744186046512,0.9152542372881356,0.11605689004594406,0.8914277587591566,0.8787753683810461,0.8612348038779684,0.8358964522056611,0.10799003974167673,0.12463666914441371,0.8468038707432933,0.8738843427067244,73
confidence,edema_lt_0.70,42,0.9387134502923977,0.8485429708508568,0.09820238746799233,0.8444444444444444,0.8736842105263158,0.6785714285714286,0.9467680608365019,0.9182493120669891,-0.08112231016654359,0.7753416981106259,0.9079200845274014,0.9125083297925282,0.9614272322567983,0.4111111111111111,0.6666666666666666,0.8444444444444444,0.5925836030204962,0.7600140845070421,0.11129185632837581,0.8928886232935207,0.8764276695860231,0.8557666562708198,0.8296906362893359,0.10403263993105616,0.11970137753425011,0.83956926186397,0.8678988954218954,90
morphology,edema_lt_0.70,42,0.8919298245614036,0.7671158500607288,0.1302574156768722,0.8111111111111111,0.8385964912280702,0.6134453781512605,0.93359375,0.9241327222958067,-0.11930561303024012,0.6788172991142243,0.8471598810257125,0.8493447429732034,0.9288035864896972,0.36666666666666664,0.6333333333333333,0.8,0.5494505494505495,0.73419627878603,0.13629778720120095,0.8641547679766173,0.8564689109824973,0.8418229002686239,0.8215639541393744,0.12259394280665872,0.15221713370766224,0.825995255920447,0.8566495017212442,90
consistency,edema_lt_0.70,42,0.7966471734892789,0.6449884962786845,0.16285175781970546,0.7,0.8350877192982457,0.5727272727272728,0.8981132075471698,0.8800187249428021,-0.11211981478402722,0.5483350427971386,0.7366502303036078,0.7340257085284903,0.8545827731955953,0.28888888888888886,0.5222222222222223,0.7111111111111111,0.4418604651162791,0.60417239010989,0.15500154885475553,0.8485491319311946,0.8435131714224067,0.836284460785457,0.8247604029965699,0.1384524152653214,0.17506078202789244,0.8212553565426753,0.8500926729389259,90
conf_morph,edema_lt_0.70,42,0.9582456140350877,0.8960294385530048,0.0798421325165086,0.8666666666666667,0.8982456140350877,0.7289719626168224,0.9552238805970149,0.919325753853631,-0.0581159705838355,0.8414964486161618,0.9398510593579088,0.9365896081240438,0.9763371422599244,0.4,0.7222222222222222,0.8666666666666667,0.64,0.8125,0.11520145191488312,0.8862891448870011,0.8642745703190194,0.8522823962987438,0.8298718586340146,0.1069059442182533,0.12460364868458491,0.8364263723060529,0.8646299958690274,90
conf_pooled,edema_lt_0.70,42,0.9161013645224171,0.8083084473602055,0.09872139519601257,0.7777777777777778,0.8947368421052632,0.7,0.9272727272727272,0.8668244932513409,-0.01962803277837133,0.733044141288719,0.8765379531012389,0.8820600265346716,0.9473980683269476,0.35555555555555557,0.6444444444444445,0.8222222222222222,0.5754654366338287,0.7464835680751173,0.12041795901996549,0.8864162366133252,0.8665184578589222,0.8464351503982298,0.8256554866624227,0.11110614848618063,0.13062813406706478,0.8305510143936894,0.8607987463396969,90
conf_consistency,edema_lt_0.70,42,0.9389863547758285,0.8542422512564936,0.09067735928325546,0.8444444444444444,0.8842105263157894,0.6972477064220184,0.9473684210526315,0.9287703810648843,-0.0685142794299251,0.7898537171802088,0.911326701463885,0.9115935056207235,0.962365289397597,0.3888888888888889,0.7,0.8444444444444444,0.6074766355140186,0.7848327305605783,0.1157452861097248,0.8937141549467386,0.8680036071933841,0.8498911463884997,0.8296768803211985,0.10803919719226579,0.12449341726344212,0.8350886115541948,0.8651653632172086,90
