outer_fold,model_seed,feature,coefficient,failure_def
2,42,absolute_gap_gt_compactness,-1.8792390705871627,lowest20_mean_fg
2,42,absolute_gap_gt_edema_frac,-0.14749738982601285,lowest20_mean_fg
2,42,absolute_gap_gt_enhancing_frac,-0.5868805866903544,lowest20_mean_fg
2,42,absolute_gap_gt_necrosis_frac,-0.35164453015580666,lowest20_mean_fg
2,42,absolute_gap_log_wt_volume,-2.15499053841957,lowest20_mean_fg
2,42,relative_gap_gt_compactness,3.328508763598743,lowest20_mean_fg
2,42,relative_gap_gt_edema_frac,0.4820462620932301,lowest20_mean_fg
2,42,relative_gap_gt_enhancing_frac,3.3999898412612883,lowest20_mean_fg
2,42,relative_gap_gt_necrosis_frac,-0.6375544331048292,lowest20_mean_fg
2,42,relative_gap_log_wt_volume,3.899004758246866,lowest20_mean_fg
2,42,signed_gap_gt_compactness,-0.3028582648468565,lowest20_mean_fg
2,42,signed_gap_gt_edema_frac,-3.7375810608794557,lowest20_mean_fg
2,42,signed_gap_gt_enhancing_frac,-3.845743255139132,lowest20_mean_fg
2,42,signed_gap_gt_necrosis_frac,-2.1775594478677776,lowest20_mean_fg
2,42,signed_gap_log_wt_volume,-0.8573989552141983,lowest20_mean_fg
2,42,standardized_gap_gt_compactness,-1.879239070587284,lowest20_mean_fg
2,42,standardized_gap_gt_edema_frac,-0.14749738982613003,lowest20_mean_fg
2,42,standardized_gap_gt_enhancing_frac,-0.5868805866902679,lowest20_mean_fg
2,42,standardized_gap_gt_necrosis_frac,-0.3516445301559481,lowest20_mean_fg
2,42,standardized_gap_log_wt_volume,-2.1549905384196117,lowest20_mean_fg
2,42,__block_perm_drop__mean_fg_lt_0.70,0.0891684219611418,
2,42,conf_mean_maxprob_all,-0.016915913236100717,mean_fg_lt_0.70
2,42,conf_mean_maxprob_fg,-0.7321149867960317,mean_fg_lt_0.70
2,42,conf_mean_entropy_fg,0.6858739192144786,mean_fg_lt_0.70
2,42,conf_mean_entropy_boundary,0.43788940745571686,mean_fg_lt_0.70
2,42,conf_entropy_p95_boundary,-0.08341190677335773,mean_fg_lt_0.70
2,42,conf_mean_margin_all,-0.01830193337978679,mean_fg_lt_0.70
2,42,conf_mean_margin_fg,-0.755087271603083,mean_fg_lt_0.70
2,42,conf_frac_maxprob_lt_0.60,-0.03098776862966198,mean_fg_lt_0.70
2,42,conf_frac_maxprob_lt_0.70,-0.023406576957798977,mean_fg_lt_0.70
2,42,conf_frac_maxprob_lt_0.80,0.025279771382200535,mean_fg_lt_0.70
2,42,conf_frac_maxprob_lt_0.90,0.10300759392557517,mean_fg_lt_0.70
2,42,conf_frac_margin_lt_0.10,-0.11816460809682575,mean_fg_lt_0.70
2,42,conf_frac_margin_lt_0.20,-0.06675164729161846,mean_fg_lt_0.70
2,42,absolute_gap_gt_compactness,-0.042102542317313654,mean_fg_lt_0.70
2,42,absolute_gap_gt_edema_frac,0.06402795525060288,mean_fg_lt_0.70
2,42,absolute_gap_gt_enhancing_frac,-0.19976901735754837,mean_fg_lt_0.70
2,42,absolute_gap_gt_necrosis_frac,-0.09006549923942794,mean_fg_lt_0.70
2,42,absolute_gap_log_wt_volume,-0.09143648234666656,mean_fg_lt_0.70
2,42,relative_gap_gt_compactness,0.17883777528392125,mean_fg_lt_0.70
2,42,relative_gap_gt_edema_frac,-0.24982423829799705,mean_fg_lt_0.70
2,42,relative_gap_gt_enhancing_frac,0.8337759615131626,mean_fg_lt_0.70
2,42,relative_gap_gt_necrosis_frac,-0.11078446444156098,mean_fg_lt_0.70
2,42,relative_gap_log_wt_volume,0.0870497532261504,mean_fg_lt_0.70
2,42,signed_gap_gt_compactness,0.33228400294346017,mean_fg_lt_0.70
2,42,signed_gap_gt_edema_frac,0.0463591240203636,mean_fg_lt_0.70
2,42,signed_gap_gt_enhancing_frac,-0.11053993778773614,mean_fg_lt_0.70
2,42,signed_gap_gt_necrosis_frac,-0.1492800473375191,mean_fg_lt_0.70
2,42,signed_gap_log_wt_volume,0.14476323137098007,mean_fg_lt_0.70
2,42,standardized_gap_gt_compactness,-0.04210254231731334,mean_fg_lt_0.70
2,42,standardized_gap_gt_edema_frac,0.06402795525060351,mean_fg_lt_0.70
2,42,standardized_gap_gt_enhancing_frac,-0.19976901735754815,mean_fg_lt_0.70
2,42,standardized_gap_gt_necrosis_frac,-0.0900654992394278,mean_fg_lt_0.70
2,42,standardized_gap_log_wt_volume,-0.09143648234666582,mean_fg_lt_0.70
3,42,__block_perm_drop__lowest20_mean_fg,0.2688731454173648,
3,42,conf_mean_maxprob_all,-0.0772126429219183,lowest20_mean_fg
3,42,conf_mean_maxprob_fg,-1.2970565620158614,lowest20_mean_fg
3,42,conf_mean_entropy_fg,1.0599475031588652,lowest20_mean_fg
3,42,conf_mean_entropy_boundary,0.5287297807345259,lowest20_mean_fg
3,42,conf_entropy_p95_boundary,-0.007031135135837895,lowest20_mean_fg
3,42,conf_mean_margin_all,0.054025679846289226,lowest20_mean_fg
3,42,conf_mean_margin_fg,-1.291759870394182,lowest20_mean_fg
3,42,conf_frac_maxprob_lt_0.60,0.00598856948453685,lowest20_mean_fg
3,42,conf_frac_maxprob_lt_0.70,-0.03762326223664509,lowest20_mean_fg
3,42,conf_frac_maxprob_lt_0.80,0.11585627586516288,lowest20_mean_fg
3,42,conf_frac_maxprob_lt_0.90,0.3817261377972101,lowest20_mean_fg
3,42,conf_frac_margin_lt_0.10,-0.8584334721582265,lowest20_mean_fg
3,42,conf_frac_margin_lt_0.20,-0.5833503488425325,lowest20_mean_fg
3,42,absolute_gap_gt_compactness,-0.09644336064397072,lowest20_mean_fg
3,42,absolute_gap_gt_edema_frac,0.0697110265897395,lowest20_mean_fg
3,42,absolute_gap_gt_enhancing_frac,-0.5768705723570701,lowest20_mean_fg
3,42,absolute_gap_gt_necrosis_frac,-0.21370135478750607,lowest20_mean_fg
3,42,absolute_gap_log_wt_volume,0.25432263118088627,lowest20_mean_fg
3,42,relative_gap_gt_compactness,0.03613886799468635,lowest20_mean_fg
3,42,relative_gap_gt_edema_frac,-0.2784158100397186,lowest20_mean_fg
3,42,relative_gap_gt_enhancing_frac,3.0070361201495466,lowest20_mean_fg
3,42,relative_gap_gt_necrosis_frac,-0.44376145381850385,lowest20_mean_fg
3,42,relative_gap_log_wt_volume,-0.22424122007786382,lowest20_mean_fg
3,42,signed_gap_gt_compactness,0.7676752515254655,lowest20_mean_fg
3,42,signed_gap_gt_edema_frac,-0.12321972268199924,lowest20_mean_fg
3,42,signed_gap_gt_enhancing_frac,-0.8983994798948274,lowest20_mean_fg
3,42,signed_gap_gt_necrosis_frac,0.004599640283550344,lowest20_mean_fg
3,42,signed_gap_log_wt_volume,-0.24512627827140612,lowest20_mean_fg
3,42,standardized_gap_gt_compactness,-0.09644336064397462,lowest20_mean_fg
3,42,standardized_gap_gt_edema_frac,0.06971102658973868,lowest20_mean_fg
3,42,standardized_gap_gt_enhancing_frac,-0.5768705723570715,lowest20_mean_fg
3,42,standardized_gap_gt_necrosis_frac,-0.21370135478750785,lowest20_mean_fg
3,42,standardized_gap_log_wt_volume,0.25432263118088694,lowest20_mean_fg
3,42,__block_perm_drop__mean_fg_lt_0.70,0.28039019935435555,
3,42,conf_mean_maxprob_all,-0.0772126429219183,mean_fg_lt_0.70
3,42,conf_mean_maxprob_fg,-1.2970565620158614,mean_fg_lt_0.70
3,42,conf_mean_entropy_fg,1.0599475031588652,mean_fg_lt_0.70
3,42,conf_mean_entropy_boundary,0.5287297807345259,mean_fg_lt_0.70
3,42,conf_entropy_p95_boundary,-0.007031135135837895,mean_fg_lt_0.70
3,42,conf_mean_margin_all,0.054025679846289226,mean_fg_lt_0.70
3,42,conf_mean_margin_fg,-1.291759870394182,mean_fg_lt_0.70
3,42,conf_frac_maxprob_lt_0.60,0.00598856948453685,mean_fg_lt_0.70
3,42,conf_frac_maxprob_lt_0.70,-0.03762326223664509,mean_fg_lt_0.70
3,42,conf_frac_maxprob_lt_0.80,0.11585627586516288,mean_fg_lt_0.70
3,42,conf_frac_maxprob_lt_0.90,0.3817261377972101,mean_fg_lt_0.70
3,42,conf_frac_margin_lt_0.10,-0.8584334721582265,mean_fg_lt_0.70
3,42,conf_frac_margin_lt_0.20,-0.5833503488425325,mean_fg_lt_0.70
3,42,absolute_gap_gt_compactness,-0.09644336064397072,mean_fg_lt_0.70
3,42,absolute_gap_gt_edema_frac,0.0697110265897395,mean_fg_lt_0.70
3,42,absolute_gap_gt_enhancing_frac,-0.5768705723570701,mean_fg_lt_0.70
3,42,absolute_gap_gt_necrosis_frac,-0.21370135478750607,mean_fg_lt_0.70
3,42,absolute_gap_log_wt_volume,0.25432263118088627,mean_fg_lt_0.70
3,42,relative_gap_gt_compactness,0.03613886799468635,mean_fg_lt_0.70
3,42,relative_gap_gt_edema_frac,-0.2784158100397186,mean_fg_lt_0.70
3,42,relative_gap_gt_enhancing_frac,3.0070361201495466,mean_fg_lt_0.70
3,42,relative_gap_gt_necrosis_frac,-0.44376145381850385,mean_fg_lt_0.70
